epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,19312.9,0.34348,0.30655,0.71113,0.00321,0.22093,0.53305,0.5889,0.5942,0.57772,0.53293,0.58873,0.59421,0.56442,0.23934,0.26823,0.8395,0.00355,0,0.000720439,0.000720439,0.000720439
109,19490.9,0.34641,0.31,0.71863,0.00326,0.22187,0.55635,0.55891,0.58835,0.57227,0.55611,0.55863,0.5884,0.55862,0.23932,0.27258,0.81432,0.00353,0,0.000715761,0.000715761,0.000715761
110,19668.8,0.34388,0.31113,0.7227,0.00321,0.22269,0.52477,0.59093,0.59451,0.57869,0.52473,0.59086,0.59465,0.56521,0.2391,0.26556,0.83795,0.00355,0,0.000711059,0.000711059,0.000711059
111,19846.6,0.34324,0.30424,0.72635,0.00324,0.22091,0.49386,0.59749,0.56849,0.55225,0.49382,0.59741,0.56864,0.53883,0.24222,0.26968,0.90464,0.00359,0,0.000706335,0.000706335,0.000706335
112,20025,0.33815,0.30233,0.71296,0.00318,0.22317,0.52978,0.59107,0.59488,0.57797,0.52972,0.59097,0.59494,0.56472,0.24024,0.26708,0.8307,0.00357,0,0.000701588,0.000701588,0.000701588
113,20202.8,0.34038,0.29999,0.70562,0.00323,0.21692,0.489,0.63091,0.59118,0.57465,0.48874,0.63173,0.59136,0.55997,0.24014,0.27499,0.84735,0.00352,0,0.00069682,0.00069682,0.00069682
114,20380.8,0.33919,0.3056,0.72623,0.00325,0.22423,0.57293,0.54348,0.59777,0.58103,0.57289,0.54342,0.59764,0.56652,0.24133,0.27484,0.81281,0.00352,0,0.000692031,0.000692031,0.000692031
115,20559.2,0.33719,0.30092,0.69812,0.00316,0.21599,0.50178,0.6184,0.60748,0.5904,0.50175,0.61832,0.60748,0.57672,0.24153,0.2717,0.77026,0.00349,0,0.000687222,0.000687222,0.000687222
116,20737.5,0.33753,0.30528,0.71023,0.0032,0.21766,0.48645,0.61104,0.58204,0.56598,0.48641,0.61097,0.5821,0.55281,0.2387,0.27107,0.85451,0.00347,0,0.000682392,0.000682392,0.000682392
117,20915.4,0.33534,0.30124,0.71176,0.00311,0.21976,0.53844,0.62928,0.61255,0.59591,0.53847,0.62931,0.6125,0.58105,0.24043,0.27451,0.76028,0.00349,0,0.000677543,0.000677543,0.000677543
118,21093.1,0.34017,0.30054,0.69769,0.00317,0.21395,0.50546,0.57722,0.58666,0.57095,0.50481,0.57774,0.58662,0.55707,0.23656,0.26813,0.85482,0.00344,0,0.000672675,0.000672675,0.000672675
