epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,308.527,0.50168,0.49726,0.27197,0.01155,0.09736,0.999,1,0.995,0.94043,0.999,1,0.995,0.995,0.36835,0.17251,0.11504,0.01406,0,0.000865839,0.000865839,0.000865839
50,314.127,0.45919,0.41324,0.25695,0.01029,0.12737,1,0.9729,0.99405,0.93857,1,0.9729,0.99405,0.99405,0.35122,0.17221,0.15616,0.01289,0,0.000860473,0.000860473,0.000860473
51,319.813,0.44564,0.42383,0.22907,0.01057,0.10614,0.99568,1,0.995,0.96441,0.99568,1,0.995,0.99262,0.33678,0.17192,0.11324,0.01213,0,0.000855018,0.000855018,0.000855018
52,325.631,0.4578,0.40885,0.27146,0.00998,0.10383,0.97337,1,0.99451,0.96627,0.97337,1,0.99451,0.99198,0.27988,0.17013,0.10975,0.0097,0,0.000849477,0.000849477,0.000849477
53,331.454,0.45518,0.43787,0.24017,0.00962,0.09401,0.97065,0.975,0.99285,0.9397,0.97065,0.975,0.99285,0.99099,0.34515,0.16915,0.18413,0.01383,0,0.000843851,0.000843851,0.000843851
54,337.161,0.45587,0.3384,0.26865,0.00939,0.10645,0.99478,1,0.995,0.95183,0.99478,1,0.995,0.99275,0.35397,0.18411,0.13771,0.01217,0,0.000838141,0.000838141,0.000838141
55,342.882,0.44223,0.42216,0.26271,0.00949,0.12719,0.99539,1,0.995,0.96429,0.99539,1,0.995,0.98783,0.32954,0.19516,0.11868,0.01161,0,0.000832349,0.000832349,0.000832349
56,348.61,0.52045,0.55022,0.29087,0.01257,0.09372,0.9987,1,0.995,0.96033,0.9987,1,0.995,0.98531,0.30896,0.17763,0.09553,0.01148,0,0.000826477,0.000826477,0.000826477
57,354.543,0.55595,0.41343,0.27781,0.01342,0.10047,0.99724,1,0.995,0.85931,0.99724,1,0.995,0.99105,0.60897,0.17138,0.16915,0.02212,0,0.000820525,0.000820525,0.000820525
58,360.58,0.51552,0.51113,0.29922,0.01115,0.11373,0.99857,1,0.995,0.95297,0.99857,1,0.995,0.995,0.30017,0.16853,0.10867,0.01046,0,0.000814495,0.000814495,0.000814495
