epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
36,4155.62,0.65879,1.02849,1.28228,0.00634,0.29959,0.50899,0.31175,0.31361,0.26358,0.51621,0.31277,0.31692,0.25177,0.73013,1.39448,1.81014,0.01167,0,6.07755e-05,6.07755e-05,6.07755e-05
37,4268.69,0.6579,1.01078,1.26001,0.00622,0.29764,0.47355,0.32632,0.31234,0.2627,0.47919,0.3269,0.31539,0.25135,0.73342,1.41375,1.84564,0.01184,0,5.98548e-05,5.98548e-05,5.98548e-05
38,4382.77,0.6564,1.02142,1.26955,0.00626,0.2938,0.51176,0.31782,0.31224,0.26341,0.51585,0.3223,0.31632,0.25182,0.7289,1.40564,1.82297,0.01164,0,5.89341e-05,5.89341e-05,5.89341e-05
39,4496.51,0.65565,1.01655,1.23476,0.00619,0.29561,0.48226,0.33158,0.31646,0.26577,0.49304,0.33401,0.32015,0.25451,0.73091,1.44869,1.8346,0.01182,0,5.80134e-05,5.80134e-05,5.80134e-05
40,4610.57,0.64858,0.99792,1.20829,0.00622,0.2855,0.49162,0.3316,0.31881,0.27009,0.49322,0.33324,0.32104,0.25746,0.73063,1.39164,1.82269,0.01163,0,5.70927e-05,5.70927e-05,5.70927e-05
41,4723.79,0.65288,1.01349,1.22907,0.00619,0.28546,0.51125,0.31395,0.31726,0.266,0.51778,0.31383,0.31943,0.25482,0.73874,1.4204,1.83965,0.01182,0,5.6172e-05,5.6172e-05,5.6172e-05
42,4837.81,0.64497,0.99358,1.20944,0.00612,0.282,0.5052,0.32092,0.31718,0.26616,0.51503,0.32094,0.31953,0.25557,0.73046,1.3905,1.8298,0.01171,0,5.52513e-05,5.52513e-05,5.52513e-05
43,4952.92,0.64757,0.99815,1.19007,0.00616,0.28138,0.48941,0.33337,0.31914,0.26921,0.492,0.33051,0.32048,0.25709,0.73007,1.43205,1.86267,0.01173,0,5.43306e-05,5.43306e-05,5.43306e-05
44,5065.85,0.63953,0.98111,1.17316,0.00606,0.27756,0.50277,0.33034,0.32418,0.27279,0.50591,0.33361,0.32733,0.26101,0.7342,1.417,1.84275,0.01172,0,5.34099e-05,5.34099e-05,5.34099e-05
45,5179.19,0.64513,0.99018,1.16472,0.00612,0.27692,0.46279,0.33724,0.32205,0.27068,0.4673,0.34008,0.32574,0.2598,0.73366,1.43695,1.8735,0.01173,0,5.24892e-05,5.24892e-05,5.24892e-05
46,5293.42,0.64359,0.98682,1.16465,0.00606,0.27394,0.52803,0.32041,0.3293,0.27609,0.53265,0.32185,0.33123,0.2639,0.73753,1.45712,1.85101,0.01181,0,5.15685e-05,5.15685e-05,5.15685e-05
47,5407.26,0.64061,0.98132,1.14935,0.00614,0.27438,0.47666,0.33303,0.32822,0.27441,0.4804,0.33137,0.33018,0.26266,0.73181,1.40727,1.83403,0.01175,0,5.06478e-05,5.06478e-05,5.06478e-05
48,5520.55,0.63524,0.97636,1.13138,0.00603,0.26468,0.53326,0.31444,0.3245,0.27349,0.54151,0.3154,0.32824,0.26161,0.73205,1.44294,1.86827,0.01165,0,4.97271e-05,4.97271e-05,4.97271e-05
49,5634.17,0.63711,0.98451,1.13449,0.006,0.26943,0.47894,0.32657,0.32545,0.27422,0.48423,0.33005,0.32914,0.26146,0.73184,1.42637,1.85513,0.01168,0,4.88064e-05,4.88064e-05,4.88064e-05
50,5747.2,0.63962,0.971,1.11646,0.00595,0.2636,0.49295,0.33441,0.32379,0.2725,0.49659,0.33661,0.32622,0.26117,0.73459,1.45503,1.87494,0.01171,0,4.78857e-05,4.78857e-05,4.78857e-05
51,5860.64,0.63325,0.96829,1.10524,0.00597,0.26095,0.48412,0.33475,0.32354,0.27238,0.49281,0.33844,0.32669,0.26036,0.73136,1.45753,1.89275,0.0117,0,4.6965e-05,4.6965e-05,4.6965e-05
52,5974.02,0.63113,0.96314,1.09849,0.0059,0.26019,0.47115,0.33306,0.32329,0.27225,0.53028,0.31056,0.32751,0.26029,0.73259,1.45955,1.87648,0.0117,0,4.60443e-05,4.60443e-05,4.60443e-05
53,6087.92,0.62971,0.96021,1.08999,0.00595,0.25817,0.49433,0.33542,0.32691,0.27462,0.50439,0.33282,0.33113,0.26298,0.7305,1.43365,1.85836,0.01172,0,4.51236e-05,4.51236e-05,4.51236e-05
54,6202.6,0.63176,0.95782,1.07017,0.00597,0.25757,0.48778,0.34044,0.33212,0.2785,0.49528,0.34158,0.335,0.26595,0.72289,1.42285,1.85453,0.01157,0,4.42029e-05,4.42029e-05,4.42029e-05
55,6316.29,0.63031,0.96411,1.08336,0.00584,0.25458,0.46743,0.33516,0.32775,0.27668,0.47385,0.33826,0.32986,0.26439,0.72902,1.4522,1.87018,0.01164,0,4.32822e-05,4.32822e-05,4.32822e-05
56,6429.93,0.62193,0.94477,1.06143,0.0058,0.25375,0.48942,0.32364,0.32422,0.27224,0.49623,0.32729,0.32851,0.26083,0.73681,1.45378,1.88038,0.01182,0,4.23615e-05,4.23615e-05,4.23615e-05
57,6543.99,0.62409,0.95376,1.05656,0.00574,0.25184,0.50912,0.32745,0.32838,0.27616,0.51426,0.33069,0.33122,0.26307,0.73625,1.4634,1.89432,0.01174,0,4.14408e-05,4.14408e-05,4.14408e-05
58,6657.3,0.61834,0.9387,1.03634,0.00581,0.24735,0.50638,0.32729,0.33039,0.27886,0.52215,0.32401,0.335,0.26686,0.73884,1.44879,1.89189,0.01184,0,4.05201e-05,4.05201e-05,4.05201e-05
59,6770.45,0.62929,0.94784,1.05302,0.00589,0.24702,0.49478,0.33742,0.33296,0.28053,0.51103,0.33547,0.33622,0.26786,0.73763,1.46629,1.88603,0.0118,0,3.95994e-05,3.95994e-05,3.95994e-05
60,6884.76,0.62228,0.94555,1.03188,0.00577,0.24478,0.50735,0.33205,0.33369,0.2815,0.51448,0.3351,0.33739,0.2689,0.73261,1.46594,1.87996,0.01171,0,3.86787e-05,3.86787e-05,3.86787e-05
61,6998.75,0.61731,0.93208,1.03533,0.00574,0.24839,0.49076,0.31804,0.32892,0.2768,0.4972,0.32187,0.33356,0.26593,0.73512,1.47523,1.90298,0.01177,0,3.7758e-05,3.7758e-05,3.7758e-05
62,7112.65,0.62213,0.94347,1.03031,0.0058,0.24217,0.4797,0.33358,0.32962,0.27725,0.4829,0.33276,0.332,0.26547,0.73196,1.45176,1.89994,0.01169,0,3.68373e-05,3.68373e-05,3.68373e-05
63,7226.1,0.62044,0.94021,1.01827,0.0057,0.241,0.48887,0.33027,0.32875,0.27778,0.49352,0.33379,0.33316,0.26625,0.73558,1.48005,1.91258,0.01179,0,3.59166e-05,3.59166e-05,3.59166e-05
64,7340.34,0.61473,0.93417,1.00598,0.00573,0.23749,0.47235,0.33509,0.33187,0.2796,0.48242,0.33447,0.33616,0.26745,0.73336,1.46432,1.88764,0.01171,0,3.49959e-05,3.49959e-05,3.49959e-05
65,7454.68,0.61366,0.93089,1.01823,0.00572,0.23707,0.47468,0.34834,0.33517,0.2818,0.47776,0.35194,0.33847,0.26869,0.72984,1.45573,1.89547,0.01165,0,3.40752e-05,3.40752e-05,3.40752e-05
66,7568.62,0.61734,0.93655,0.99669,0.00571,0.2393,0.475,0.34591,0.33623,0.28203,0.48718,0.34538,0.34031,0.26972,0.7309,1.45272,1.89522,0.01162,0,3.31545e-05,3.31545e-05,3.31545e-05
67,7682.52,0.61022,0.92024,0.97959,0.00568,0.23485,0.51347,0.32422,0.33312,0.28179,0.51976,0.32814,0.33695,0.26876,0.73302,1.48904,1.92203,0.01164,0,3.22338e-05,3.22338e-05,3.22338e-05
68,7795.86,0.61566,0.92702,0.99329,0.00568,0.23329,0.50819,0.32426,0.33231,0.27967,0.52989,0.31786,0.33678,0.2674,0.73435,1.48474,1.91742,0.01176,0,3.13131e-05,3.13131e-05,3.13131e-05
69,7909.53,0.61153,0.92179,0.98003,0.00565,0.23081,0.52659,0.3142,0.33157,0.27915,0.53068,0.31724,0.336,0.26667,0.73491,1.48216,1.91307,0.01177,0,3.03924e-05,3.03924e-05,3.03924e-05
70,8023.23,0.61411,0.92685,0.97615,0.00565,0.23172,0.44167,0.35293,0.33345,0.28055,0.44524,0.35498,0.33685,0.26767,0.73152,1.48055,1.93152,0.01167,0,2.94717e-05,2.94717e-05,2.94717e-05
71,8136.56,0.61129,0.92361,0.97457,0.00565,0.22963,0.53124,0.30806,0.33123,0.27799,0.53509,0.3112,0.33409,0.26545,0.73951,1.45943,1.92125,0.01187,0,2.8551e-05,2.8551e-05,2.8551e-05
72,8250.82,0.61111,0.91589,0.97209,0.00569,0.22875,0.49294,0.33553,0.33293,0.28004,0.50021,0.33644,0.33557,0.26732,0.73081,1.4741,1.92347,0.01169,0,2.76303e-05,2.76303e-05,2.76303e-05
73,8364.59,0.60789,0.91435,0.95874,0.00563,0.22751,0.46788,0.34285,0.33252,0.2808,0.47168,0.34528,0.33573,0.26745,0.7347,1.48523,1.92033,0.01172,0,2.67096e-05,2.67096e-05,2.67096e-05
74,8478.73,0.60376,0.91337,0.95283,0.0056,0.22447,0.49651,0.32651,0.33396,0.28175,0.50079,0.33063,0.33703,0.26952,0.73418,1.46619,1.92006,0.01171,0,2.57889e-05,2.57889e-05,2.57889e-05
75,8592.26,0.60286,0.90373,0.94649,0.00559,0.22021,0.46221,0.3491,0.33607,0.28344,0.46541,0.35182,0.33852,0.27001,0.73501,1.45855,1.91154,0.01174,0,2.48682e-05,2.48682e-05,2.48682e-05
76,8705.98,0.60442,0.90489,0.94508,0.00557,0.22275,0.48454,0.34354,0.33515,0.28244,0.48457,0.34848,0.33905,0.27012,0.73549,1.49113,1.92677,0.01176,0,2.39475e-05,2.39475e-05,2.39475e-05
77,8819.95,0.60294,0.91535,0.94834,0.00554,0.22235,0.45845,0.33111,0.3309,0.27875,0.46316,0.33223,0.33351,0.26613,0.73685,1.50609,1.94386,0.01178,0,2.30268e-05,2.30268e-05,2.30268e-05
78,8933.27,0.60139,0.90169,0.93389,0.00553,0.2232,0.47899,0.33431,0.33208,0.28007,0.48152,0.33602,0.33546,0.26712,0.73037,1.47142,1.9456,0.01163,0,2.21061e-05,2.21061e-05,2.21061e-05
